Sector,Correlation (0-month),Correlation (1-month),Correlation (2-month),Correlation (3-month),Best Lag,Best Correlation,Abs Correlation,Sector_Short
Accommodation and food services,0.036317898168661475,0.5265924072454392,0.4099029282381315,0.005916780762871754,1,0.5265924072454392,0.5265924072454392,Accommodation & Food
Other services (except public administration),0.08020084560869882,0.5058821348848944,0.32436729235053574,0.0003564967405865292,1,0.5058821348848944,0.5058821348848944,Other Services
Health care and social assistance,0.04215341877769674,0.4476384610138095,0.36432199353053524,-0.027315074495487212,1,0.4476384610138095,0.4476384610138095,Healthcare
Manufacturing,0.21303653663889294,0.4337993578253113,0.22760305716642945,-0.047573902546165635,1,0.4337993578253113,0.4337993578253113,Manufacturing
Trade 12,0.09721896851233,0.42296616239421364,0.2455862585905238,-0.023877975678222464,1,0.42296616239421364,0.42296616239421364,Trade
"Arts, entertainment and recreation",0.027405384054635072,0.3931459731461765,0.3244096833468686,0.07523768231290834,1,0.3931459731461765,0.3931459731461765,Arts & Entertainment
Information and cultural industries,-0.15626158049253225,0.251362354611832,0.378037272519966,0.2644946192761458,2,0.378037272519966,0.378037272519966,Information & Cultural
Goods producing industries 9,0.18200427339106687,0.35329585021170296,0.18026647624317416,0.012569694861652372,1,0.35329585021170296,0.35329585021170296,Goods Producing
Service producing industries 11,0.04095550036075707,0.3271761402876275,0.2735663668490075,0.014866432609937832,1,0.3271761402876275,0.3271761402876275,Service Producing
"Administrative and support, waste management and remediation services",0.04884428354543094,0.31677116320836174,0.29885572272701705,0.08098941904544743,1,0.31677116320836174,0.31677116320836174,Admin & Support
"Professional, scientific and technical services",0.10498739111867306,0.26628369792492707,0.2901273403638352,0.11819186963890405,2,0.2901273403638352,0.2901273403638352,Professional Services
Construction,0.18135873521887855,0.28878131308118615,0.11611666127162604,0.028689077275023026,1,0.28878131308118615,0.28878131308118615,Construction
"Mining, quarrying, and oil and gas extraction",-0.06301725675301631,0.19401007801278813,0.28861414878432456,0.12094733381927765,2,0.28861414878432456,0.28861414878432456,Mining & Oil/Gas
Real estate and rental and leasing,0.08288181249450455,0.2873588294474227,0.27389163937403255,0.05180169298076707,1,0.2873588294474227,0.2873588294474227,Real Estate
Finance and insurance,0.08159178214345532,0.04928477275180344,0.2052901051737281,0.07626705864890419,2,0.2052901051737281,0.2052901051737281,Finance & Insurance
Public administration,-0.07532598800943514,0.1769409344438313,0.1916008109023147,0.06623524878754965,2,0.1916008109023147,0.1916008109023147,Public Admin
Transportation and warehousing,0.023404687932904785,0.180776520172763,0.1460385778793155,-0.039596190225719856,1,0.180776520172763,0.180776520172763,Transportation
Management of companies and enterprises,-0.01620615060432058,0.14075587255247254,0.163956450358183,0.10244355370548797,2,0.163956450358183,0.163956450358183,Management
Utilities,0.020593278365045434,0.1511620871054237,0.12746027764035125,0.058918797633799556,1,0.1511620871054237,0.1511620871054237,Utilities
"Forestry, logging and support 10",0.022217251908708165,0.1509238997255565,0.1127762593034379,0.008596825980758106,1,0.1509238997255565,0.1509238997255565,Forestry & Logging
Educational services,-0.009779249745948444,-0.04163189443720542,-0.025833132369616936,-0.021845757452140988,1,-0.04163189443720542,0.04163189443720542,Education
