Sector,Correlation (0-month),Correlation (1-month),Correlation (2-month),Best Lag,Best Correlation,Abs Correlation
Accommodation and food services,0.036317898168661475,0.5265924072454392,0.4099029282381315,1,0.5265924072454392,0.5265924072454392
Other services (except public administration),0.08020084560869882,0.5058821348848944,0.32436729235053574,1,0.5058821348848944,0.5058821348848944
Health care and social assistance,0.04215341877769674,0.4476384610138095,0.36432199353053524,1,0.4476384610138095,0.4476384610138095
Manufacturing,0.21303653663889294,0.4337993578253113,0.22760305716642945,1,0.4337993578253113,0.4337993578253113
Trade 12,0.09721896851233,0.42296616239421364,0.2455862585905238,1,0.42296616239421364,0.42296616239421364
"Arts, entertainment and recreation",0.027405384054635072,0.3931459731461765,0.3244096833468686,1,0.3931459731461765,0.3931459731461765
Information and cultural industries,-0.15626158049253225,0.251362354611832,0.378037272519966,2,0.378037272519966,0.378037272519966
Industrial aggregate including unclassified businesses 6 7 8,0.07606636849790563,0.36168242718795146,0.2704439390969283,1,0.36168242718795146,0.36168242718795146
Industrial aggregate excluding unclassified businesses 6 7 8,0.07631725629785811,0.3564564023334619,0.27066354611555776,1,0.3564564023334619,0.3564564023334619
Goods producing industries 9,0.18200427339106687,0.35329585021170296,0.18026647624317416,1,0.35329585021170296,0.35329585021170296
Service producing industries 11,0.04095550036075707,0.3271761402876275,0.2735663668490075,1,0.3271761402876275,0.3271761402876275
"Administrative and support, waste management and remediation services",0.04884428354543094,0.31677116320836174,0.29885572272701705,1,0.31677116320836174,0.31677116320836174
Unclassified businesses 7,0.01756539521656521,0.30859742887621355,0.1251138158345775,1,0.30859742887621355,0.30859742887621355
"Professional, scientific and technical services",0.10498739111867306,0.26628369792492707,0.2901273403638352,2,0.2901273403638352,0.2901273403638352
Construction,0.18135873521887855,0.28878131308118615,0.11611666127162604,1,0.28878131308118615,0.28878131308118615
"Mining, quarrying, and oil and gas extraction",-0.06301725675301631,0.19401007801278813,0.28861414878432456,2,0.28861414878432456,0.28861414878432456
Real estate and rental and leasing,0.08288181249450455,0.2873588294474227,0.27389163937403255,1,0.2873588294474227,0.2873588294474227
Finance and insurance,0.08159178214345532,0.04928477275180344,0.2052901051737281,2,0.2052901051737281,0.2052901051737281
Public administration,-0.07532598800943514,0.1769409344438313,0.1916008109023147,2,0.1916008109023147,0.1916008109023147
Transportation and warehousing,0.023404687932904785,0.180776520172763,0.1460385778793155,1,0.180776520172763,0.180776520172763
Management of companies and enterprises,-0.01620615060432058,0.14075587255247254,0.163956450358183,2,0.163956450358183,0.163956450358183
Utilities,0.020593278365045434,0.1511620871054237,0.12746027764035125,1,0.1511620871054237,0.1511620871054237
"Forestry, logging and support 10",0.022217251908708165,0.1509238997255565,0.1127762593034379,1,0.1509238997255565,0.1509238997255565
Educational services,-0.009779249745948444,-0.04163189443720542,-0.025833132369616936,1,-0.04163189443720542,0.04163189443720542
